OBJECTID,AssetID,AssetStatus,AssetName,Owner,InstallDate,Type,Lng,Lat
20,PS003,In Service,CARYSFORT ST,TCC,1/02/1979,Rising Main,176.2262728,-37.67210611
117,PS004,In Service,GIRVEN RD,TCC,1/07/1974,Rising Main,176.2304667,-37.67332183
59,PS005,In Service,LABURNUM GLEN,TCC,1/01/1992,Rising Main,176.217607,-37.68166412
94,PS006,In Service,SULPHUR POINT WEST (PORT),Port of Tauranga,1/01/1992,Rising Main,176.1698963,-37.66150064
95,PS007,In Service,SULPHUR POINT EAST (PORT),Port of Tauranga,1/01/1992,Rising Main,176.174019,-37.6629945
31,PS008,In Service,DOMAIN RD,TCC,1/03/1991,Rising Main,176.2845997,-37.69795575
58,PS009,In Service,PERCY RD,TCC,1/03/1991,Rising Main,176.2770152,-37.69537716
72,PS010,In Service,OPAL DRV,TCC,1/02/1996,Rising Main,176.2913711,-37.70578861
106,PS011,In Service,HARTFORD AVE,TCC,1/11/1987,Rising Main,176.2645322,-37.69196318
33,PS012,In Service,DOUGLAS PL,TCC,1/03/1992,Rising Main,176.2948019,-37.70224977
200,PS013,In Service,MACDONALD ST,TCC,1/06/1973,Rising Main,176.2128918,-37.669835
27,PS014,In Service,TE MAUNGA OUTFALL,TCC,1/08/1976,Rising Main,176.2334183,-37.69441705
45,PS015,In Service,SUNRISE AVE,TCC,1/08/1983,Rising Main,176.2418578,-37.68053805
21,PS016,In Service,SEASPRAY DRV,TCC,1/07/1974,Rising Main,176.234188,-37.67576076
22,PS017,In Service,MARANUI ST,TCC,1/10/1983,Rising Main,176.2393783,-37.6762641
7,PS018,In Service,MARU ST,TCC,1/06/1979,Rising Main,176.197334,-37.66254127
201,PS019,In Service,TAWA ST,TCC,1/07/1982,Rising Main,176.1878212,-37.64531398
32,PS020,In Service,TOPAZ DRV,TCC,1/03/1979,Rising Main,176.2873808,-37.70191215
6,PS021,In Service,NEWTON ST,TCC,1/03/1979,Rising Main,176.202224,-37.65945474
8,PS022,In Service,VALLEY RD,TCC,1/03/1979,Rising Main,176.2060795,-37.65610099
3,PS023,In Service,LEE ST,TCC,1/01/1985,Rising Main,176.1995153,-37.64911106
2,PS024,In Service,GROVE AVE,TCC,1/01/1985,Rising Main,176.1901041,-37.64092993
74,PS025,In Service,NIKAU CRES,TCC,1/07/1976,Rising Main,176.1837221,-37.64109343
69,PS026,In Service,TYE PARK,TCC,1/07/1978,Rising Main,176.1985253,-37.72148594
54,PS027,In Service,WAITAHA RD,TCC,1/07/1978,Rising Main,176.1903038,-37.72513951
167,PS028,In Service,OTUMANGA,TCC,1/10/1979,Rising Main,176.1808859,-37.72463172
109,PS029,In Service,EVERSHAM RD,TCC,1/03/1979,Rising Main,176.225069,-37.6790185
